product_code,title,product_description,currency,price,product_quantity_raw,price_per_product_quantity_raw,tax_details,additional_manufacturer,manufacturers,product_info_url,country,product_img_url,availability,raw_data,raw_html
GIM,Transparent Protective  Safety Goggle box of 10,,GBP,"£
                        150.00",1,,(Inc. VAT),,,https://www.medema.co.uk/transparent_protective__goggle_box_of_10_,UK,./media/products/185fe94bd250591d9a397e7a2379d348.jpg|./media/products/185fe94bd250591d9a397e7a2379d348.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/high_protection__medical_goggles-_softpad_technology,UK,,,,
GIM-25265*,High Protection  Medical Goggles- SoftPad Technology,,GBP,"£
                        39.00",1,,(Inc. VAT),,,https://www.medema.co.uk/high_protection__medical_goggles-_softpad_technology,UK,./media/products/d070f263fd34742b05f3450258123629.jpg|./media/products/d070f263fd34742b05f3450258123629.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/splash_googles_that__meets_ansi_z871_standards,UK,,,,
PRE5600,Splash Goggles|PRODUCT IS OUT OF STOCK,,GBP,"£
                        11.99",1,,(Inc. VAT),,,https://www.medema.co.uk/splash_googles_that__meets_ansi_z871_standards,UK,./media/products/00a2064b94d6b777ce162eef7a8cf531.jpg|./media/products/00a2064b94d6b777ce162eef7a8cf531.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/full_face_ultra-light_face_shield__with_3_visors,UK,,,,
GIM 25642,Full Face Ultra-light face shield  with 3 Visors,,GBP,"£
                        79.20",1,,(Inc. VAT),,,https://www.medema.co.uk/full_face_ultra-light_face_shield__with_3_visors,UK,./media/products/de4f7f5d996a13075abf8c18e08e5be7.jpg|./media/products/de4f7f5d996a13075abf8c18e08e5be7.jpg,,,
GIM25643,Replacement Shield Kit|Includes 2 face transparent shields ad 1 head shield.,,GBP,"£
                        32.16",1,,(Inc. VAT),,,https://www.medema.co.uk/full_face_ultra-light_face_shield__with_3_visors,UK,./media/products/d01e626e69560cb79e9d71bebd28f9a5.jpg|./media/products/d01e626e69560cb79e9d71bebd28f9a5.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/protective_glasses__guarding_against_debris_and_fluids,UK,,,,
PRE5900,Student and Visitor Protective Glasses,,GBP,"£
                        9.50",1,,(Inc. VAT),,,https://www.medema.co.uk/protective_glasses__guarding_against_debris_and_fluids,UK,./media/products/5900.jpg|./media/products/5900.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/dental_safety_glasses,UK,,,,
NETMEDTEQ-T221104,UV 400 Dental Safety Glasses,,GBP,"£
                        13.63",1,,(Inc. VAT),,,https://www.medema.co.uk/dental_safety_glasses,UK,./images/placeholder-small.gif|./images/placeholder-small.gif,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/full_face_visor_shields,UK,,,,
